year,id_,marital,race,rincome,partyid,relig,denom
2e3,142.0,Widowed,Black,Not applicable,Not str democrat,Protestant,Baptist-dk which
2e3,143.0,Widowed,Black,Don't know,Strong democrat,Protestant,Baptist-dk which
2e3,144.0,Widowed,White,Not applicable,Not str democrat,Catholic,Not applicable
2e3,145.0,Widowed,White,Not applicable,Not str republican,Protestant,United methodist
2e3,146.0,Never married,Black,$15000 - 19999,Strong democrat,None,Not applicable
2e3,147.0,Never married,Black,$1000 to 2999,Not str democrat,Protestant,Other methodist
2e3,148.0,Never married,Black,$8000 to 9999,"Ind,near rep",None,Not applicable
2e3,149.0,Never married,Black,$25000 or more,Strong democrat,Protestant,Baptist-dk which
2e3,150.0,Never married,Black,Not applicable,Not str democrat,Protestant,Other methodist
2e3,151.0,Never married,Other,$25000 or more,Independent,None,Not applicable
2e3,152.0,Never married,Other,Not applicable,Strong democrat,Catholic,Not applicable
2e3,153.0,Married,White,Refused,Not str republican,Catholic,Not applicable
2e3,154.0,Married,White,$20000 - 24999,Strong republican,Protestant,Am baptist asso
2e3,155.0,Separated,Black,$25000 or more,Not str democrat,Protestant,Baptist-dk which
2e3,156.0,Never married,White,$20000 - 24999,Independent,None,Not applicable
2e3,157.0,Widowed,White,Not applicable,Strong democrat,Catholic,Not applicable
2e3,158.0,Widowed,White,$25000 or more,"Ind,near dem",Catholic,Not applicable
2e3,159.0,Married,White,$25000 or more,Not str republican,Protestant,Am bapt ch in usa
2e3,160.0,Married,White,$25000 or more,"Ind,near dem",Catholic,Not applicable
2e3,161.0,Married,Black,Not applicable,Strong democrat,Protestant,Baptist-dk which
2e3,162.0,Married,White,$15000 - 19999,Independent,Protestant,Other
2e3,163.0,Married,White,$10000 - 14999,"Ind,near dem",Protestant,No denomination
2e3,164.0,Never married,White,$25000 or more,Independent,Catholic,Not applicable
2e3,165.0,Married,White,No answer,"Ind,near dem",None,Not applicable
2e3,166.0,Divorced,White,$25000 or more,Independent,Protestant,No denomination
2e3,167.0,Never married,White,$1000 to 2999,Not str republican,Catholic,Not applicable
2e3,168.0,Married,White,Not applicable,Not str democrat,Catholic,Not applicable
2e3,169.0,Married,White,$25000 or more,Not str republican,Protestant,Other lutheran
2e3,170.0,Married,White,Refused,Not str democrat,Catholic,Not applicable
2e3,171.0,Never married,White,$25000 or more,Independent,None,Not applicable
2e3,172.0,Never married,White,$20000 - 24999,Not str republican,Protestant,Luth ch in america
2e3,173.0,Married,White,$25000 or more,Strong republican,Protestant,Evangelical luth
2e3,174.0,Married,White,Not applicable,Strong republican,Protestant,Luth ch in america
2e3,175.0,Married,White,$25000 or more,"Ind,near rep",Protestant,Luth ch in america
2e3,176.0,Married,White,Not applicable,Other party,Catholic,Not applicable
2e3,177.0,Married,White,$25000 or more,Not str democrat,Catholic,Not applicable
2e3,178.0,Married,White,Not applicable,Strong republican,Protestant,"Presbyterian, merged"
2e3,179.0,Married,White,Refused,Strong republican,Catholic,Not applicable
2e3,180.0,Married,White,Refused,Strong republican,Jewish,Not applicable
2e3,181.0,Married,Other,Refused,Independent,None,Not applicable
2e3,182.0,Widowed,White,Not applicable,"Ind,near rep",Protestant,Evangelical luth
2e3,183.0,Widowed,Black,$25000 or more,Not str republican,Catholic,Not applicable
2e3,184.0,Married,White,No answer,No answer,No answer,No answer
2e3,185.0,Married,White,$25000 or more,Not str democrat,Jewish,Not applicable
2e3,186.0,Married,White,$25000 or more,Strong democrat,Jewish,Not applicable
2e3,187.0,Divorced,White,$25000 or more,Strong democrat,Protestant,Episcopal
2e3,188.0,Married,Black,Not applicable,Not str democrat,Protestant,Baptist-dk which
2e3,189.0,Married,White,Lt $1000,Not str democrat,Jewish,Not applicable
2e3,190.0,Never married,White,$25000 or more,Not str democrat,Protestant,Episcopal
2e3,191.0,Never married,White,$25000 or more,Strong democrat,Jewish,Not applicable
2e3,192.0,Never married,White,$8000 to 9999,Not str democrat,None,Not applicable
2e3,193.0,Divorced,White,$25000 or more,Not str democrat,Catholic,Not applicable
2e3,194.0,Never married,White,$25000 or more,Strong democrat,Protestant,Evangelical luth
2e3,195.0,Never married,Black,$25000 or more,Strong democrat,None,Not applicable
2e3,196.0,Married,White,Refused,Not str democrat,None,Not applicable
2e3,197.0,Never married,Black,Not applicable,Strong democrat,Protestant,Am baptist asso
2e3,198.0,Separated,Other,Not applicable,Strong republican,Protestant,Other
2e3,199.0,Never married,Black,Not applicable,"Ind,near rep",Protestant,Am baptist asso
2e3,200.0,Never married,Black,Not applicable,Not str republican,Catholic,Not applicable
2e3,201.0,Divorced,Black,$10000 - 14999,Strong democrat,Protestant,Am baptist asso
2e3,202.0,Widowed,Black,$3000 to 3999,Strong democrat,Catholic,Not applicable
2e3,203.0,Separated,Black,Not applicable,"Ind,near dem",Protestant,Am baptist asso
2e3,204.0,Married,White,$10000 - 14999,Not str republican,Catholic,Not applicable
2e3,205.0,Married,White,$3000 to 3999,"Ind,near rep",Protestant,Am baptist asso
2e3,206.0,Separated,White,$25000 or more,Strong democrat,None,Not applicable
2e3,207.0,Divorced,White,$25000 or more,Independent,Inter-nondenominational,Not applicable
2e3,208.0,Divorced,White,$8000 to 9999,"Ind,near dem",None,Not applicable
2e3,209.0,Never married,White,$25000 or more,Not str democrat,Protestant,Other
2e3,210.0,Married,White,$10000 - 14999,Not str republican,Protestant,Episcopal
2e3,211.0,Married,White,$25000 or more,Not str democrat,Protestant,No denomination
2e3,212.0,Married,White,Not applicable,Not str republican,Protestant,Other
2e3,213.0,Married,White,$25000 or more,Not str democrat,None,Not applicable
2e3,214.0,Married,White,Not applicable,Strong republican,Protestant,No denomination
2e3,215.0,Never married,White,$1000 to 2999,Independent,Catholic,Not applicable
2e3,216.0,Never married,White,$8000 to 9999,"Ind,near dem",Catholic,Not applicable
2e3,217.0,Never married,White,$25000 or more,"Ind,near dem",Catholic,Not applicable
2e3,218.0,Married,White,Lt $1000,Not str democrat,None,Not applicable
2e3,219.0,Married,Other,$25000 or more,Not str republican,Catholic,Not applicable
2e3,220.0,Separated,White,$25000 or more,Strong democrat,Protestant,Wi evan luth synod
2e3,221.0,Married,White,$25000 or more,Not str democrat,Catholic,Not applicable
2e3,222.0,Never married,White,$20000 - 24999,Not str democrat,Catholic,Not applicable
2e3,223.0,Married,White,$25000 or more,"Ind,near dem",None,Not applicable
2e3,224.0,Never married,White,$15000 - 19999,Other party,None,Not applicable
2e3,225.0,Divorced,White,$25000 or more,"Ind,near dem",Inter-nondenominational,Not applicable
2e3,226.0,Never married,White,Refused,Strong democrat,Catholic,Not applicable
2e3,227.0,Never married,White,$25000 or more,Other party,Protestant,No denomination
2e3,228.0,Never married,White,$8000 to 9999,"Ind,near dem",Catholic,Not applicable
2e3,229.0,Married,White,$25000 or more,Not str republican,Protestant,Other
2e3,230.0,Married,Other,$25000 or more,Not str democrat,None,Not applicable
2e3,231.0,Never married,White,Not applicable,"Ind,near dem",Catholic,Not applicable
2e3,232.0,Married,White,$25000 or more,Not str democrat,Catholic,Not applicable
2e3,233.0,Widowed,White,Not applicable,Strong democrat,Protestant,Luth ch in america
2e3,234.0,Married,White,$25000 or more,"Ind,near dem",Protestant,United methodist
2e3,235.0,Never married,White,$3000 to 3999,"Ind,near dem",Catholic,Not applicable
2e3,236.0,Divorced,White,Not applicable,Independent,Protestant,No denomination
2e3,237.0,Married,Other,$25000 or more,Strong republican,Christian,Not applicable
2e3,238.0,Separated,White,$25000 or more,Strong democrat,Other,Not applicable
2e3,239.0,Married,White,$25000 or more,Strong democrat,None,Not applicable
2e3,240.0,Married,White,Not applicable,Independent,Protestant,Other
2e3,241.0,Married,White,Not applicable,Not str republican,Protestant,No denomination
2e3,242.0,Widowed,White,Not applicable,Strong republican,Protestant,Episcopal
2e3,243.0,Married,White,Not applicable,Strong republican,Catholic,Not applicable
2e3,244.0,Widowed,Other,Not applicable,Not str democrat,Protestant,Other
2e3,245.0,Married,White,$25000 or more,Not str republican,Catholic,Not applicable
2e3,246.0,Never married,Other,$3000 to 3999,Strong democrat,None,Not applicable
2e3,247.0,Married,White,$25000 or more,"Ind,near dem",Protestant,Southern baptist
2e3,248.0,Married,Other,$6000 to 6999,Not str democrat,Buddhism,Not applicable
2e3,249.0,Married,Other,$15000 - 19999,Not str democrat,Catholic,Not applicable
2e3,250.0,Widowed,White,$6000 to 6999,Strong democrat,Catholic,Not applicable
2e3,251.0,Married,White,Not applicable,"Ind,near rep",Catholic,Not applicable
2e3,252.0,Married,White,$25000 or more,Strong democrat,Jewish,Not applicable
2e3,253.0,Married,White,Not applicable,Strong republican,Protestant,Other baptists
2e3,254.0,Divorced,White,Not applicable,Strong democrat,Protestant,Am lutheran
2e3,255.0,Never married,White,$25000 or more,"Ind,near rep",None,Not applicable
2e3,256.0,Married,White,$4000 to 4999,Not str republican,None,Not applicable
2e3,257.0,Married,White,Not applicable,Not str republican,None,Not applicable
2e3,258.0,Divorced,White,Not applicable,Strong republican,Protestant,Methodist-dk which
2e3,259.0,Married,White,$10000 - 14999,Strong republican,Protestant,Am baptist asso
2e3,260.0,Never married,White,$25000 or more,Independent,Catholic,Not applicable
2e3,261.0,Separated,White,$25000 or more,"Ind,near dem",Protestant,Methodist-dk which
2e3,262.0,Divorced,White,$25000 or more,Independent,Protestant,Baptist-dk which
2e3,263.0,Widowed,White,Not applicable,Not str democrat,Protestant,Methodist-dk which
2e3,264.0,Married,White,$25000 or more,Strong republican,Catholic,Not applicable
2e3,265.0,Separated,White,Not applicable,Not str democrat,None,Not applicable
2e3,266.0,Widowed,White,Refused,Independent,Catholic,Not applicable
2e3,267.0,Married,White,$25000 or more,Independent,Catholic,Not applicable
2e3,268.0,Never married,White,No answer,"Ind,near rep",Catholic,Not applicable
2e3,269.0,Never married,White,Not applicable,Not str democrat,Catholic,Not applicable
2e3,270.0,Married,Black,Not applicable,Other party,Protestant,No denomination
2e3,271.0,Married,Black,$25000 or more,Other party,Protestant,Am baptist asso
2e3,272.0,Never married,White,$25000 or more,Independent,Protestant,United methodist
2e3,273.0,Never married,Other,$10000 - 14999,Not str democrat,None,Not applicable
2e3,274.0,Never married,White,$25000 or more,Independent,None,Not applicable
2e3,275.0,Divorced,Black,$15000 - 19999,"Ind,near dem",None,Not applicable
2e3,276.0,Widowed,Black,Don't know,Strong democrat,Protestant,Baptist-dk which
2e3,277.0,Separated,Black,Not applicable,Strong democrat,Protestant,Am bapt ch in usa
2e3,278.0,Divorced,Black,Not applicable,Strong democrat,Protestant,Other
2e3,279.0,Widowed,Black,Not applicable,Strong democrat,Protestant,Baptist-dk which
2e3,280.0,Never married,Black,Not applicable,Strong democrat,Protestant,Afr meth episcopal
2e3,281.0,Never married,Black,Not applicable,Not str republican,Protestant,Afr meth episcopal
2e3,282.0,Never married,Black,$5000 to 5999,"Ind,near dem",Protestant,Am bapt ch in usa
2e3,283.0,Married,Black,Refused,Independent,Protestant,No denomination
2e3,284.0,Married,Black,$10000 - 14999,Independent,Catholic,Not applicable
2e3,285.0,Never married,Black,Not applicable,"Ind,near rep",Catholic,Not applicable
2e3,286.0,Never married,Black,$15000 - 19999,Strong democrat,Protestant,Southern baptist
2e3,287.0,Never married,Black,Refused,Independent,Protestant,Baptist-dk which
2e3,288.0,Divorced,Black,Refused,"Ind,near dem",Protestant,Southern baptist
2e3,289.0,Never married,Black,$7000 to 7999,Not str democrat,Protestant,Baptist-dk which
2e3,290.0,Divorced,Black,$8000 to 9999,Not str democrat,Protestant,Southern baptist
2e3,291.0,Married,Black,Lt $1000,Not str democrat,Protestant,Am lutheran
2e3,292.0,Never married,Black,$25000 or more,Strong democrat,Protestant,Baptist-dk which
2e3,293.0,Separated,Black,Refused,Independent,Catholic,Not applicable
2e3,294.0,Separated,Black,$15000 - 19999,Strong democrat,Protestant,Am bapt ch in usa
2e3,295.0,Never married,White,Not applicable,Not str republican,Protestant,Am lutheran
2e3,296.0,Married,White,$25000 or more,Strong republican,Protestant,No denomination
2e3,297.0,Never married,Black,Not applicable,Strong democrat,None,Not applicable
2e3,298.0,Divorced,Black,$15000 - 19999,Strong democrat,Protestant,Am baptist asso
2e3,299.0,Never married,Black,$10000 - 14999,Not str democrat,None,Not applicable
2e3,300.0,Never married,Black,$15000 - 19999,Strong democrat,Protestant,Southern baptist
2e3,301.0,Never married,Black,No answer,Strong democrat,None,Not applicable
2e3,302.0,Never married,Black,Not applicable,"Ind,near rep",Catholic,Not applicable
2e3,303.0,Divorced,Black,$3000 to 3999,Independent,None,Not applicable
2e3,304.0,Divorced,White,$25000 or more,Not str democrat,Catholic,Not applicable
2e3,305.0,Married,White,Not applicable,Not str republican,Protestant,United methodist
2e3,306.0,Married,White,Not applicable,"Ind,near rep",Catholic,Not applicable
2e3,307.0,Married,White,Not applicable,Not str democrat,Protestant,Evangelical luth
2e3,308.0,Married,White,$25000 or more,Other party,None,Not applicable
2e3,309.0,Married,White,$15000 - 19999,Not str republican,Catholic,Not applicable
2e3,310.0,Divorced,White,$25000 or more,"Ind,near dem",Protestant,No denomination
2e3,311.0,Married,White,$25000 or more,Not str republican,Catholic,Not applicable
2e3,312.0,Married,White,$6000 to 6999,"Ind,near rep",Protestant,Presbyterian c in us
2e3,313.0,Married,White,$25000 or more,"Ind,near dem",Protestant,Presbyterian c in us
2e3,314.0,Never married,White,$25000 or more,"Ind,near dem",Protestant,Other
2e3,315.0,Married,Black,$25000 or more,Not str democrat,Protestant,Other baptists
2e3,316.0,Never married,White,$25000 or more,"Ind,near dem",None,Not applicable
2e3,317.0,Never married,Other,$25000 or more,"Ind,near dem",Moslem/islam,Not applicable
2e3,318.0,Married,White,$25000 or more,Strong democrat,None,Not applicable
2e3,319.0,Married,White,$5000 to 5999,"Ind,near dem",Protestant,Evangelical luth
2e3,320.0,Married,White,$25000 or more,Independent,Orthodox-christian,Not applicable
2e3,321.0,Divorced,White,$25000 or more,Not str democrat,Catholic,Not applicable
2e3,322.0,Never married,White,$25000 or more,Strong democrat,Jewish,Not applicable
2e3,323.0,Never married,Other,$25000 or more,"Ind,near rep",Buddhism,Not applicable
2e3,324.0,Married,White,Refused,Strong republican,Protestant,Other
2e3,325.0,Married,White,Not applicable,Strong republican,Protestant,United methodist
2e3,326.0,Married,White,$25000 or more,Independent,Protestant,United methodist
2e3,327.0,Never married,White,Not applicable,"Ind,near rep",Catholic,Not applicable
2e3,328.0,Never married,Other,$20000 - 24999,Not str republican,Catholic,Not applicable
2e3,329.0,Never married,White,$15000 - 19999,Strong democrat,Protestant,Other
2e3,330.0,Married,White,$25000 or more,Strong republican,Catholic,Not applicable
2e3,331.0,Widowed,White,$25000 or more,Independent,Protestant,Luth ch in america
2e3,332.0,Married,White,$25000 or more,Independent,Catholic,Not applicable
2e3,333.0,Married,White,$25000 or more,Not str democrat,Protestant,Evangelical luth
2e3,334.0,Widowed,White,Not applicable,Not str democrat,Catholic,Not applicable
2e3,335.0,Married,White,$6000 to 6999,Strong republican,Protestant,Other baptists
2e3,336.0,Married,White,$25000 or more,Independent,Catholic,Not applicable
2e3,337.0,Married,White,$25000 or more,"Ind,near rep",None,Not applicable
2e3,338.0,Never married,White,Not applicable,Not str democrat,None,Not applicable
2e3,339.0,Never married,White,$10000 - 14999,Independent,Other,Not applicable
2e3,340.0,Married,White,$25000 or more,Other party,None,Not applicable
2e3,341.0,Married,White,$25000 or more,"Ind,near rep",Protestant,Other
2e3,342.0,Married,White,$25000 or more,Independent,None,Not applicable
2e3,343.0,Married,White,$20000 - 24999,Independent,Protestant,Wi evan luth synod
2e3,344.0,Married,White,$3000 to 3999,Independent,None,Not applicable
2e3,345.0,Never married,White,$25000 or more,Independent,Jewish,Not applicable
2e3,346.0,Married,White,Refused,Strong republican,Protestant,United methodist
2e3,347.0,Married,White,Refused,"Ind,near rep",Protestant,United methodist
2e3,348.0,Never married,White,$6000 to 6999,"Ind,near rep",Catholic,Not applicable
2e3,349.0,Never married,Black,$25000 or more,Not str democrat,Protestant,Other
2e3,350.0,Widowed,White,No answer,Strong republican,Catholic,Not applicable
2e3,351.0,Married,White,Not applicable,"Ind,near rep",Catholic,Not applicable
2e3,352.0,Married,Other,Not applicable,"Ind,near dem",Protestant,Lutheran-dk which
2e3,353.0,Married,White,$10000 - 14999,"Ind,near rep",Catholic,Not applicable
2e3,354.0,Never married,White,Don't know,Independent,Protestant,Other presbyterian
2e3,355.0,Married,Other,$25000 or more,Not str democrat,Catholic,Not applicable
2e3,356.0,Married,White,$25000 or more,Not str republican,Protestant,Am lutheran
2e3,357.0,Never married,White,$3000 to 3999,Independent,Catholic,Not applicable
2e3,358.0,Married,White,$25000 or more,Not str republican,Protestant,Evangelical luth
2e3,359.0,Divorced,White,$25000 or more,Independent,Protestant,Methodist-dk which
2e3,360.0,Married,White,$25000 or more,Independent,Protestant,Am baptist asso
